refreshed_time,province,kabupaten_kota,candidate_1_votes,candidate_2_votes,candidate_3_votes,total_votes
2024-02-20 23:15:39.355539,SUMATERA UTARA,ASAHAN,34958.0,52293.0,11001.0,98252.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,BATU BARA,46317.0,55346.0,7213.0,108876.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,DAIRI,6724.0,49192.0,17490.0,73406.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,DELI SERDANG,96686.0,170086.0,30495.0,297267.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,HUMBANG HASUNDUTAN,834.0,26484.0,9576.0,36894.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KARO,4082.0,41816.0,12750.0,58648.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA BINJAI,23033.0,32730.0,4282.0,60045.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA GUNUNGSITOLI,2407.0,22003.0,6161.0,30571.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA MEDAN,50909.0,63285.0,17979.0,132173.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA PADANG SIDEMPUAN,40826.0,32365.0,3437.0,76628.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA PEMATANGSIANTAR,22326.0,68919.0,21306.0,112551.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA SIBOLGA,1096.0,3098.0,703.0,4897.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA TANJUNG BALAI,26766.0,21873.0,3984.0,52623.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,KOTA TEBING TINGGI,25997.0,39454.0,7515.0,72966.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,LABUHANBATU,37328.0,51086.0,7259.0,95673.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,LABUHANBATU SELATAN,21546.0,47332.0,6041.0,74919.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,LABUHANBATU UTARA,35815.0,83552.0,11311.0,130678.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,LANGKAT,112635.0,226934.0,30733.0,370302.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,MANDAILING NATAL,64062.0,43434.0,3547.0,111043.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,NIAS,512.0,11470.0,4811.0,16793.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,NIAS BARAT,723.0,18009.0,5853.0,24585.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,NIAS SELATAN,2118.0,39386.0,14358.0,55862.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,NIAS UTARA,1518.0,16777.0,4632.0,22927.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,PADANG LAWAS,14462.0,19672.0,992.0,35126.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,PADANG LAWAS UTARA,32539.0,62613.0,3169.0,98321.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,PAKPAK BHARAT,3699.0,9769.0,2419.0,15887.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,SAMOSIR,1113.0,44507.0,19548.0,65168.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,SERDANG BEDAGAI,60350.0,131101.0,25370.0,216821.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,SIMALUNGUN,20475.0,94006.0,23078.0,137559.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,TAPANULI SELATAN,19338.0,33354.0,2717.0,55409.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,TAPANULI TENGAH,24161.0,60384.0,13747.0,98292.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,TAPANULI UTARA,2608.0,44130.0,16172.0,62910.0
2024-02-20 23:15:39.355539,SUMATERA UTARA,TOBA,1317.0,41437.0,12332.0,55086.0
2024-02-20 23:15:39.355539,Luar Negeri,"Abu Dhabi, Uni Emirat Arab",1568.0,1174.0,380.0,3122.0
2024-02-20 23:15:39.355539,Luar Negeri,"Abuja, Nigeria",151.0,494.0,231.0,876.0
2024-02-20 23:15:39.355539,Luar Negeri,"Addis Ababa, Ethiopia",18.0,25.0,32.0,75.0
2024-02-20 23:15:39.355539,Luar Negeri,"Alger, Aljazair",47.0,72.0,24.0,143.0
2024-02-20 23:15:39.355539,Luar Negeri,"Amman, Yordania",530.0,376.0,45.0,951.0
2024-02-20 23:15:39.355539,Luar Negeri,"Ankara, Turki",1524.0,749.0,117.0,2390.0
2024-02-20 23:15:39.355539,Luar Negeri,"Antananarivo, Madagaskar",36.0,208.0,76.0,320.0
2024-02-20 23:15:39.355539,Luar Negeri,"Astana, Kazakhstan",20.0,44.0,33.0,97.0
2024-02-20 23:15:39.355539,Luar Negeri,"Athena, Yunani",98.0,659.0,233.0,990.0
2024-02-20 23:15:39.355539,Luar Negeri,"Baghdad, Irak",30.0,125.0,14.0,169.0
2024-02-20 23:15:39.355539,Luar Negeri,"Baku, Azerbaijan",25.0,38.0,18.0,81.0
2024-02-20 23:15:39.355539,Luar Negeri,"Bandar Seri Begawan, Brunei Darussalam",1512.0,4251.0,1459.0,7222.0
2024-02-20 23:15:39.355539,Luar Negeri,"Bangkok, Thailand",540.0,564.0,420.0,1524.0
2024-02-20 23:15:39.355539,Luar Negeri,"Beijing, Republik Rakyat Tiongkok",82.0,271.0,178.0,531.0
2024-02-20 23:15:39.355539,Luar Negeri,"Beirut, Lebanon",40.0,57.0,29.0,126.0
2024-02-20 23:15:39.355539,Luar Negeri,"Beograd, Serbia",18.0,67.0,46.0,131.0
